city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
abay,kz,2017-10-27 09:30:00,72.85,49.63,30.2,74.0,0.0,8.95
abu samrah,qa,2017-10-27 09:00:00,55.58,24.25,87.8,35.0,0.0,10.29
acari,pe,2017-10-27 10:08:47,-74.62,-15.43,72.45,42.0,0.0,3.4
achikulak,ru,2017-10-27 10:08:47,44.84,44.55,44.55,90.0,64.0,5.35
aden,ye,2017-10-27 10:05:28,45.04,12.78,83.79,97.0,0.0,13.29
adrar,dz,2017-10-27 09:00:00,-0.29,27.87,86.0,20.0,0.0,16.11
aflu,dz,2017-10-27 10:08:48,2.1,34.11,53.82,67.0,0.0,3.89
agadez,ne,2017-10-27 10:08:49,10.25,19.75,73.62,23.0,0.0,11.27
agrestina,br,2017-10-27 10:08:49,-35.94,-8.46,80.46,64.0,0.0,12.35
agucadoura,pt,2017-10-27 09:30:00,-8.78,41.43,87.8,39.0,0.0,3.36
aguimes,es,2017-10-27 10:00:00,-15.45,27.91,82.4,30.0,48.0,4.7
aiken,us,2017-10-27 09:56:00,-81.72,33.56,73.4,37.0,1.0,8.05
albac,ro,2017-10-27 09:30:00,22.97,46.45,51.8,93.0,75.0,1.12
albany,au,2017-10-27 10:08:51,117.89,-35.02,56.52,78.0,80.0,19.33
alta floresta,br,2017-10-27 10:08:52,-56.09,-9.88,97.07,41.0,0.0,3.06
ambalavao,mg,2017-10-27 10:08:52,46.93,-21.83,62.82,93.0,80.0,1.5
ambilobe,mg,2017-10-27 10:08:53,49.05,-13.2,78.17,53.0,0.0,12.62
amderma,ru,2017-10-27 10:08:53,61.65,69.75,27.5,92.0,88.0,13.29
anapskaya,ru,2017-10-27 09:30:00,37.38,44.89,57.2,82.0,75.0,8.95
anar darreh,af,2017-10-27 10:08:54,61.65,32.76,54.9,39.0,8.0,3.78
ancud,cl,2017-10-27 10:08:55,-73.82,-41.87,50.31,99.0,92.0,10.67
angicos,br,2017-10-27 10:08:55,-36.6,-5.67,94.59,38.0,0.0,15.86
ankpa,ng,2017-10-27 10:08:56,7.63,7.37,80.55,78.0,36.0,3.56
antalaha,mg,2017-10-27 10:08:56,50.28,-14.9,74.93,87.0,0.0,9.15
antofagasta,cl,2017-10-27 09:00:00,-70.4,-23.65,60.8,67.0,40.0,12.75
arica,cl,2017-10-27 09:00:00,-70.3,-18.48,68.0,56.0,75.0,9.17
aripuana,br,2017-10-27 10:08:57,-60.63,-9.17,91.85,55.0,32.0,3.22
ariquemes,br,2017-10-27 10:08:58,-63.04,-9.91,90.68,60.0,12.0,3.4
arkhipo-osipovka,ru,2017-10-27 10:08:58,38.52,44.37,56.75,85.0,12.0,9.78
arlit,ne,2017-10-27 10:08:59,7.39,18.74,78.3,15.0,32.0,12.95
arnprior,ca,2017-10-27 09:00:00,-76.35,45.43,44.6,75.0,90.0,9.17
arraial do cabo,br,2017-10-27 09:00:00,-42.03,-22.97,82.4,69.0,75.0,5.82
asfi,ma,2017-10-27 10:09:00,-9.24,32.3,73.26,50.0,0.0,5.86
astara,az,2017-10-27 10:00:00,48.88,38.46,66.2,77.0,75.0,1.77
asyut,eg,2017-10-27 09:00:00,31.18,27.18,80.6,30.0,0.0,9.17
atar,mr,2017-10-27 10:09:02,-13.05,20.52,94.82,14.0,0.0,3.4
attawapiskat,ca,2017-10-27 10:09:03,-81.62,52.3,39.42,68.0,92.0,12.39
auka,hn,2017-10-27 09:00:00,-83.83,14.93,71.6,94.0,90.0,20.8
awbari,ly,2017-10-27 10:09:04,12.78,26.59,61.11,58.0,0.0,5.75
awjilah,ly,2017-10-27 10:09:04,21.29,29.11,64.94,76.0,0.0,8.59
babati,tz,2017-10-27 10:09:05,35.75,-4.22,67.05,88.0,88.0,6.02
bagotville,ca,2017-10-27 09:00:00,-70.89,48.34,42.8,93.0,90.0,16.11
bajil,ye,2017-10-27 10:09:06,43.29,15.06,81.23,65.0,0.0,5.08
balao,ec,2017-10-27 10:09:07,-79.82,-2.92,76.1,88.0,76.0,3.56
ballitoville,za,2017-10-27 10:09:07,31.21,-29.54,58.1,90.0,92.0,14.14
bambous virieux,mu,2017-10-27 09:00:00,57.76,-20.34,77.0,78.0,40.0,14.99
bandar-e lengeh,ir,2017-10-27 09:00:00,54.88,26.56,84.2,70.0,0.0,10.16
bandarbeyla,so,2017-10-27 10:09:08,50.81,9.49,80.91,100.0,92.0,11.68
bandundu,cd,2017-10-27 10:09:09,17.37,-3.32,74.3,98.0,56.0,5.57
barawe,so,2017-10-27 09:50:00,22.27,60.45,28.4,92.0,90.0,2.24
barcelos,br,2017-10-27 10:09:09,-62.92,-0.97,85.59,75.0,56.0,7.58
barentsburg,sj,,0.0,0.0,0.0,0.0,0.0,0.0
bataipora,br,2017-10-27 10:09:10,-53.27,-22.3,72.81,100.0,68.0,7.36
bathsheba,bb,2017-10-27 09:00:00,-59.52,13.22,87.8,74.0,40.0,12.75
beira,mz,2017-10-27 09:00:00,34.84,-19.84,80.6,78.0,40.0,17.22
bela,pk,2017-10-27 10:09:11,66.31,26.23,61.29,69.0,0.0,2.39
belushya guba,ru,2017-10-27 10:09:12,60.05,69.71,33.53,97.0,88.0,16.6
belyy yar,ru,2017-10-27 09:30:00,91.39,53.6,17.6,85.0,0.0,2.24
bengkulu,id,2017-10-27 10:09:13,102.27,-3.8,77.85,100.0,68.0,2.84
benguela,ao,2017-10-27 10:09:13,13.41,-12.58,74.7,98.0,36.0,2.89
berlevag,no,2017-10-27 09:50:00,29.09,70.86,39.2,80.0,75.0,17.22
biltine,td,2017-10-27 10:09:14,20.92,14.53,80.46,26.0,56.0,7.58
birao,cf,2017-10-27 10:09:14,22.79,10.28,79.88,35.0,8.0,6.8
bloemfontein,za,2017-10-27 09:30:00,26.21,-29.12,62.6,17.0,0.0,19.46
boa vista,br,2017-10-27 09:00:00,-60.67,2.82,95.0,47.0,75.0,11.41
bokspits,bw,2017-10-27 09:00:00,21.26,-28.45,78.8,6.0,0.0,12.75
bolshiye kaybitsy,ru,2017-10-27 10:09:16,48.5,55.25,17.91,81.0,24.0,6.8
bonavista,ca,2017-10-27 10:09:17,-53.11,48.65,49.28,89.0,0.0,9.55
bosaso,so,2017-10-27 10:09:17,49.18,11.28,82.35,100.0,24.0,12.62
brae,gb,2017-10-27 09:50:00,-1.35,60.4,51.8,81.0,75.0,34.45
bredasdorp,za,2017-10-27 09:00:00,20.04,-34.53,60.8,51.0,0.0,19.46
bubaque,gw,2017-10-27 09:00:00,-15.83,11.28,91.4,52.0,20.0,10.29
bud,no,2017-10-27 09:50:00,6.89,62.8,48.2,87.0,75.0,32.21
bukavu,cd,2017-10-27 10:09:19,28.86,-2.51,59.18,100.0,92.0,1.28
bukene,tz,2017-10-27 10:09:20,32.88,-4.23,65.75,99.0,92.0,6.87
buritis,br,2017-10-27 10:09:20,-46.42,-15.62,99.77,20.0,8.0,10.45
busselton,au,2017-10-27 10:09:21,115.33,-33.65,61.29,100.0,68.0,21.85
buturlinovka,ru,2017-10-27 10:09:21,40.61,50.82,40.95,94.0,92.0,9.93
cabedelo,br,2017-10-27 09:00:00,-34.83,-6.98,82.4,74.0,75.0,17.22
cabral,do,2017-10-27 09:00:00,-71.22,18.25,86.0,66.0,75.0,9.17
callaway,us,2017-10-27 08:56:00,-85.57,30.15,73.4,53.0,1.0,9.17
calvinia,za,2017-10-27 10:09:23,19.78,-31.47,62.69,17.0,0.0,12.46
campo grande,br,2017-10-27 09:00:00,-54.65,-20.44,89.6,52.0,40.0,26.4
cap malheureux,mu,2017-10-27 09:00:00,57.61,-19.98,77.0,78.0,40.0,14.99
capao da canoa,br,2017-10-27 10:09:24,-50.01,-29.75,69.66,89.0,12.0,5.53
cape town,za,2017-10-27 09:00:00,18.42,-33.93,68.0,42.0,0.0,18.34
caravelas,br,2017-10-27 10:09:25,-39.25,-17.71,78.21,100.0,0.0,21.23
carballo,es,2017-10-27 10:00:00,-8.69,43.21,73.4,60.0,0.0,1.12
carnarvon,au,2017-10-27 10:09:26,113.63,-24.87,66.87,98.0,0.0,21.63
cascais,pt,2017-10-27 09:30:00,-9.42,38.7,87.8,20.0,0.0,10.29
castro,cl,2017-10-27 10:09:27,-73.77,-42.47,50.09,100.0,92.0,10.16
catacocha,ec,2017-10-27 10:09:27,-79.63,-4.07,70.56,96.0,92.0,2.21
cayenne,gf,2017-10-27 09:30:00,-52.33,4.93,89.6,59.0,40.0,16.11
cerquilho,br,2017-10-27 09:00:00,-47.74,-23.17,82.4,54.0,0.0,9.17
cha grande,br,2017-10-27 10:00:00,-35.46,-8.24,82.4,69.0,75.0,12.75
chachapoyas,pe,2017-10-27 10:09:29,-77.87,-6.23,68.45,78.0,80.0,2.84
chake chake,tz,2017-10-27 10:09:30,39.77,-5.25,79.25,99.0,20.0,6.76
chegutu,zw,2017-10-27 10:09:30,30.14,-18.13,83.7,29.0,92.0,7.58
cheuskiny,ru,2017-10-27 09:30:00,72.6,61.1,26.6,92.0,75.0,8.95
chicama,pe,2017-10-27 09:00:00,-79.15,-7.84,66.2,77.0,75.0,11.41
chimbote,pe,2017-10-27 10:09:31,-78.58,-9.09,66.96,83.0,8.0,7.02
chinsali,zm,2017-10-27 10:09:32,32.08,-10.54,81.99,30.0,92.0,5.41
chipinge,zw,2017-10-27 10:09:32,32.62,-20.19,68.99,94.0,92.0,9.37
chiredzi,zw,2017-10-27 10:09:33,31.67,-21.05,70.29,81.0,100.0,18.43
chuy,uy,2017-10-27 10:09:33,-53.46,-33.7,65.75,98.0,92.0,15.19
cidreira,br,2017-10-27 10:09:34,-50.21,-30.18,78.08,86.0,44.0,9.33
clyde river,ca,2017-10-27 09:00:00,-68.59,70.47,14.0,66.0,75.0,12.75
cockburn town,tc,2017-10-27 10:09:35,-71.14,21.46,83.34,97.0,80.0,5.64
cockburn town,bs,2017-10-27 10:06:45,-74.52,24.03,79.79,100.0,32.0,16.98
codrington,ag,2017-10-27 09:56:00,-2.42,51.5,57.2,76.0,0.0,3.06
coihaique,cl,2017-10-27 09:00:00,-72.07,-45.58,55.4,58.0,75.0,5.82
comodoro rivadavia,ar,2017-10-27 09:00:00,-67.5,-45.87,68.0,37.0,20.0,17.22
concordia,ar,2017-10-27 09:00:00,-58.02,-31.39,66.2,82.0,90.0,16.11
coquimbo,cl,2017-10-27 09:00:00,-71.34,-29.95,59.0,72.0,40.0,17.22
coracora,pe,2017-10-27 10:09:37,-73.78,-15.03,66.42,14.0,0.0,5.41
corinto,br,2017-10-27 10:09:38,-44.46,-18.38,93.02,46.0,20.0,5.01
costa rica,br,2017-10-27 10:09:38,-54.65,-23.42,82.49,83.0,24.0,8.59
cotonou,bj,2017-10-27 09:00:00,2.42,6.37,86.0,74.0,40.0,11.41
cuamba,mz,2017-10-27 10:09:39,36.54,-14.8,81.45,36.0,0.0,7.65
dakar,sn,2017-10-27 09:30:00,-17.44,14.69,87.8,66.0,0.0,11.41
dalvik,is,2017-10-27 09:00:00,-18.53,65.97,51.8,66.0,75.0,12.75
damghan,ir,2017-10-27 10:09:41,54.35,36.17,53.91,72.0,0.0,2.28
danielskuil,za,2017-10-27 10:09:41,23.54,-28.19,58.59,13.0,0.0,12.62
darbhanga,in,2017-10-27 10:09:42,85.9,26.17,68.27,49.0,0.0,4.85
derzhavinsk,kz,2017-10-27 10:09:42,66.32,51.1,36.23,96.0,92.0,10.38
dezful,ir,2017-10-27 10:09:42,48.41,32.38,68.94,35.0,0.0,4.56
dharchula,in,2017-10-27 10:09:43,80.53,29.85,39.42,70.0,8.0,1.54
diego de almagro,cl,2017-10-27 10:09:43,-70.05,-26.37,69.53,75.0,0.0,3.89
dikson,ru,2017-10-27 10:09:44,80.55,73.51,20.52,100.0,64.0,17.31
dingle,ie,2017-10-27 10:09:44,-10.27,52.14,54.45,98.0,44.0,7.92
discovery bay,jm,2017-10-27 09:00:00,-77.39,18.46,84.2,74.0,75.0,8.05
dolbeau,ca,2017-10-27 09:00:00,-72.21,48.88,44.6,75.0,75.0,17.22
domoni,km,2017-10-27 10:09:46,44.53,-12.26,79.7,100.0,0.0,11.95
dve mogili,bg,2017-10-27 10:00:00,25.87,43.6,50.0,100.0,80.0,2.24
dzaoudzi,yt,2017-10-27 09:30:00,45.27,-12.79,80.6,74.0,0.0,8.05
east london,za,2017-10-27 09:00:00,27.91,-33.02,59.0,47.0,20.0,11.41
eirunepe,br,2017-10-27 10:09:47,-69.87,-6.66,92.52,59.0,20.0,2.89
elliot,za,2017-10-27 10:09:48,27.85,-31.33,39.65,63.0,24.0,5.3
encantado,br,2017-10-27 10:09:48,-51.87,-29.24,76.55,70.0,88.0,4.23
eskasem,af,2017-10-27 10:09:49,71.61,36.72,11.34,81.0,0.0,1.99
eucaliptus,bo,2017-10-27 09:00:00,-67.52,-17.58,66.2,22.0,20.0,8.05
eydhafushi,mv,2017-10-27 10:09:49,73.07,5.1,82.35,100.0,12.0,4.9
eyl,so,2017-10-27 10:09:50,49.82,7.98,77.94,94.0,92.0,9.1
fagernes,no,2017-10-27 10:09:50,9.23,60.99,36.5,88.0,80.0,10.16
faya,td,2017-10-27 10:09:51,19.1,17.93,81.5,18.0,0.0,13.06
fomboni,km,2017-10-27 10:09:51,43.74,-12.28,79.79,100.0,0.0,13.62
fuerte olimpo,py,2017-10-27 10:09:52,-57.87,-21.04,86.94,81.0,36.0,12.62
gamba,ga,2017-10-27 10:09:52,10.0,-2.65,77.0,94.0,92.0,5.64
gamboma,cg,2017-10-27 10:09:53,15.86,-1.88,70.43,100.0,88.0,5.53
ganganagar,in,2017-10-27 10:09:05,73.88,29.92,68.0,45.0,0.0,3.33
garowe,so,2017-10-27 10:09:54,48.48,8.41,75.06,79.0,8.0,10.27
general roca,ar,2017-10-27 09:00:00,-67.58,-39.03,69.8,32.0,0.0,10.29
georgetown,sh,2017-10-27 10:09:55,-14.42,-7.93,75.06,100.0,92.0,17.87
ginda,er,2017-10-27 09:50:00,24.94,60.17,32.0,100.0,90.0,4.7
goma,cd,2017-10-27 10:09:55,29.22,-1.68,60.75,100.0,92.0,3.85
gopalur,in,2017-10-27 10:09:56,77.8,16.62,75.02,70.0,88.0,0.87
gornopravdinsk,ru,2017-10-27 10:09:56,69.9,60.05,28.4,87.0,88.0,8.55
goundam,ml,2017-10-27 10:09:57,-3.67,16.41,89.82,21.0,20.0,8.88
grand gaube,mu,2017-10-27 09:00:00,57.66,-20.01,77.0,78.0,40.0,14.99
grand river south east,mu,2017-10-27 09:00:00,57.78,-20.29,77.0,78.0,40.0,14.99
grand-santi,gf,2017-10-27 10:09:58,-54.38,4.25,94.19,44.0,0.0,2.84
grindavik,is,2017-10-27 09:30:00,-22.43,63.84,46.4,93.0,90.0,19.46
grootfontein,na,2017-10-27 10:09:59,18.12,-19.57,73.71,57.0,12.0,2.51
guaimaro,cu,2017-10-27 08:52:00,-77.35,21.05,84.2,66.0,40.0,9.17
guajara,br,2017-10-27 10:10:00,-57.67,-2.97,87.62,69.0,12.0,3.4
gweru,zw,2017-10-27 10:10:01,29.82,-19.45,76.32,43.0,88.0,16.82
haifa,il,2017-10-27 08:50:00,34.99,32.82,77.0,69.0,0.0,11.41
hakkari,tr,2017-10-27 10:10:02,44.17,37.58,43.7,91.0,64.0,1.88
hambantota,lk,2017-10-27 10:10:03,81.12,6.12,80.01,100.0,56.0,7.92
hamilton,bm,2017-10-27 08:55:00,-64.78,32.29,75.2,78.0,75.0,18.34
harper,lr,2017-10-27 10:10:04,-7.72,4.38,79.65,100.0,92.0,6.87
hauterive,ca,2017-10-27 09:34:00,-73.69,45.57,48.2,70.0,40.0,19.46
havelock,us,2017-10-27 09:54:00,-76.9,34.88,68.0,40.0,1.0,3.85
henties bay,na,2017-10-27 10:10:05,14.28,-22.12,59.09,87.0,0.0,3.33
herat,af,2017-10-27 09:55:00,62.2,34.35,59.0,19.0,0.0,6.93
hermanus,za,2017-10-27 10:10:07,19.23,-34.42,58.19,53.0,0.0,10.56
hilton head island,us,2017-10-27 09:56:00,-80.75,32.22,73.4,30.0,5.0,6.93
hit,iq,2017-10-27 10:10:08,42.83,33.64,65.61,56.0,0.0,2.33
hithadhoo,mv,2017-10-27 10:10:09,73.08,-0.6,83.12,100.0,32.0,8.03
hobyo,so,2017-10-27 10:05:34,48.53,5.35,75.51,94.0,0.0,6.42
hofn,is,2017-10-27 09:00:00,-15.21,64.25,51.8,62.0,20.0,11.41
hualmay,pe,2017-10-27 10:10:10,-77.61,-11.1,70.7,69.0,8.0,5.23
huanuni,bo,2017-10-27 09:00:00,-66.85,-18.27,66.2,22.0,20.0,8.05
huarmey,pe,2017-10-27 10:10:11,-78.15,-10.07,73.62,55.0,12.0,4.12
hunza,pk,2017-10-27 09:55:00,6.75,53.0,51.8,81.0,90.0,11.41
husavik,is,2017-10-27 09:00:00,-17.34,66.04,51.8,66.0,75.0,12.75
igarka,ru,2017-10-27 10:10:12,86.58,67.47,23.9,89.0,88.0,15.19
