city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
abaetetuba,br,2017-09-09 10:00:00,-48.88,-1.72,89.6,55.0,75.0,10.29
abancay,pe,2017-09-09 10:00:00,-72.88,-13.63,62.6,55.0,40.0,2.26
abdulino,ru,2017-09-09 10:36:03,53.67,53.7,54.08,86.0,44.0,12.77
acarau,br,2017-09-09 10:36:03,-40.12,-2.89,91.97,48.0,0.0,13.0
acari,pe,2017-09-09 10:36:03,-74.62,-15.43,68.39,55.0,0.0,2.93
adre,td,2017-09-09 10:36:04,22.2,13.47,79.82,59.0,0.0,4.94
aksu,cn,2017-09-09 10:36:04,80.26,41.12,57.14,87.0,92.0,2.82
alappuzha,in,2017-09-09 10:36:04,76.33,9.49,73.79,100.0,92.0,3.27
albany,au,2017-09-09 10:36:04,117.89,-35.02,52.28,94.0,8.0,8.41
alta floresta,br,2017-09-09 09:00:00,-56.09,-9.88,100.4,35.0,20.0,6.93
altamira,br,2017-09-09 10:00:00,-52.21,-3.2,91.4,59.0,75.0,4.7
altrincham,gb,2017-09-09 09:50:00,-2.35,53.39,62.6,77.0,76.0,5.82
amarante do maranhao,br,2017-09-09 10:36:05,-46.74,-5.57,96.47,28.0,0.0,9.19
ambatofinandrahana,mg,2017-09-09 10:36:06,46.8,-20.55,48.59,88.0,0.0,2.59
ambilobe,mg,2017-09-09 10:36:06,49.05,-13.2,73.25,57.0,0.0,15.79
ambovombe,mg,2017-09-09 10:36:06,46.08,-25.17,73.25,73.0,0.0,11.43
amderma,ru,2017-09-09 10:36:06,61.65,69.75,39.95,78.0,88.0,12.44
ampanihy,mg,2017-09-09 10:36:07,44.75,-24.7,75.32,43.0,0.0,12.1
ancud,cl,2017-09-09 10:36:07,-73.82,-41.87,52.37,54.0,0.0,5.28
angra,pt,2017-09-09 10:00:00,-27.22,38.65,73.4,88.0,75.0,5.82
antalaha,mg,2017-09-09 10:36:07,50.28,-14.9,71.45,91.0,48.0,12.66
antequera,py,2017-09-09 10:36:08,-57.08,-24.13,99.35,29.0,0.0,11.21
antigonish,ca,2017-09-09 10:00:00,-62.0,45.62,68.0,60.0,1.0,6.96
antofagasta,cl,2017-09-09 10:00:00,-70.4,-23.65,60.8,63.0,40.0,12.75
anzio,it,2017-09-09 09:55:00,12.62,41.49,75.2,57.0,20.0,12.75
aquiraz,br,2017-09-09 10:00:00,-38.39,-3.9,87.8,45.0,0.0,17.22
aragarcas,br,2017-09-09 10:36:09,-52.25,-15.9,98.45,19.0,0.0,10.2
araguatins,br,2017-09-09 10:00:00,-47.93,-5.65,100.4,33.0,40.0,8.05
arraial do cabo,br,2017-09-09 10:00:00,-42.03,-22.97,87.8,55.0,0.0,25.28
arzgir,ru,2017-09-09 10:36:10,44.22,45.37,69.29,55.0,0.0,7.96
aswan,eg,2017-09-09 10:00:00,32.91,24.09,98.6,17.0,0.0,8.05
atar,mr,2017-09-09 10:36:11,-13.05,20.52,99.8,25.0,20.0,5.17
atasu,kz,2017-09-09 10:36:11,71.64,48.68,66.23,51.0,0.0,13.78
ati,td,2017-09-09 10:36:11,18.34,13.22,85.04,52.0,0.0,4.38
attawapiskat,ca,2017-09-09 10:36:12,-81.62,52.3,66.14,59.0,0.0,15.57
awbari,ly,2017-09-09 10:36:12,12.78,26.59,90.17,13.0,56.0,2.37
ayolas,py,2017-09-09 10:36:12,-56.9,-27.4,82.97,68.0,92.0,6.85
babanusah,sd,2017-09-09 10:36:12,27.73,11.03,81.89,73.0,36.0,6.4
bahia blanca,ar,2017-09-09 10:36:13,-62.27,-38.72,55.79,71.0,68.0,19.82
bambous virieux,mu,2017-09-09 10:00:00,57.76,-20.34,73.4,60.0,75.0,17.22
baracoa,cu,2017-09-09 10:36:13,-74.5,20.35,87.47,87.0,0.0,16.24
barawe,so,2017-09-09 10:36:14,44.42,1.83,75.59,79.0,32.0,10.2
barbar,sd,2017-09-09 10:36:14,33.98,18.02,89.54,34.0,0.0,3.94
barcelos,br,2017-09-09 10:36:14,-62.92,-0.97,87.92,70.0,20.0,5.06
bardiyah,ly,2017-09-09 10:36:14,25.09,31.76,77.12,91.0,0.0,7.18
barentsburg,sj,,0.0,0.0,0.0,0.0,0.0,0.0
barentu,er,2017-09-09 10:36:15,37.59,15.11,74.6,65.0,0.0,1.59
basoko,cd,2017-09-09 10:36:15,23.62,1.24,74.6,92.0,44.0,5.17
batangafo,cf,2017-09-09 10:36:15,18.28,7.3,78.2,84.0,0.0,3.94
bathsheba,bb,2017-09-09 10:00:00,-59.52,13.22,87.8,70.0,40.0,12.75
bayji,iq,2017-09-09 10:36:16,43.49,34.93,83.6,12.0,0.0,7.96
bell ville,ar,2017-09-09 10:36:16,-62.69,-32.63,70.82,95.0,80.0,4.94
belmonte,br,2017-09-09 10:00:00,-38.88,-15.86,78.8,83.0,75.0,13.87
beloha,mg,2017-09-09 10:36:17,45.05,-25.17,72.44,56.0,0.0,6.62
belushya guba,ru,2017-09-09 10:36:17,60.05,69.71,42.29,97.0,80.0,16.13
bengkulu,id,2017-09-09 10:36:17,102.27,-3.8,78.83,100.0,44.0,1.7
berlevag,no,2017-09-09 10:34:09,29.09,70.86,45.35,89.0,0.0,18.7
betamcherla,in,2017-09-09 10:36:18,78.17,15.47,71.72,98.0,68.0,6.62
betanzos,bo,2017-09-09 10:36:18,-65.45,-19.55,66.95,20.0,12.0,9.08
bhag,pk,2017-09-09 10:36:18,67.82,29.04,84.95,53.0,0.0,6.62
bicas,br,2017-09-09 10:36:18,-43.06,-21.73,80.0,46.0,0.0,5.61
